Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
Wii Sports,Wii,2006.0,Sports,41.36,28.96,3.77,8.45,76.0,8,E
Super Mario Bros.,NES,1985.0,Platform,29.08,3.58,6.81,0.77,,,
Mario Kart Wii,Wii,2008.0,Racing,15.68,12.76,3.79,3.29,82.0,8.3,E
Wii Sports Resort,Wii,2009.0,Sports,15.61,10.93,3.28,2.95,80.0,8,E
Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,11.27,8.89,10.22,1.0,,,
Tetris,GB,1989.0,Puzzle,23.2,2.26,4.22,0.58,,,
New Super Mario Bros.,DS,2006.0,Platform,11.28,9.14,6.5,2.88,89.0,8.5,E
Wii Play,Wii,2006.0,Misc,13.96,9.18,2.93,2.84,58.0,6.6,E
New Super Mario Bros. Wii,Wii,2009.0,Platform,14.44,6.94,4.7,2.24,87.0,8.4,E
Duck Hunt,NES,1984.0,Shooter,26.93,0.63,0.28,0.47,,,
Nintendogs,DS,2005.0,Simulation,9.05,10.95,1.93,2.74,,,
Mario Kart DS,DS,2005.0,Racing,9.71,7.47,4.13,1.9,91.0,8.6,E
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,9.0,6.18,7.2,0.71,,,
Wii Fit,Wii,2007.0,Sports,8.92,8.03,3.6,2.15,80.0,7.7,E
Kinect Adventures!,X360,2010.0,Misc,15.0,4.89,0.24,1.69,61.0,6.3,E
Wii Fit Plus,Wii,2009.0,Sports,9.01,8.49,2.53,1.77,80.0,7.4,E
Grand Theft Auto V,PS3,2013.0,Action,7.02,9.09,0.98,3.96,97.0,8.2,M
Grand Theft Auto: San Andreas,PS2,2004.0,Action,9.43,0.4,0.41,10.57,95.0,9,M
Super Mario World,SNES,1990.0,Platform,12.78,3.75,3.54,0.55,,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,4.74,9.2,4.16,2.04,77.0,7.9,E
Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,6.38,4.46,6.04,1.36,,,
Super Mario Land,GB,1989.0,Platform,10.83,2.71,4.18,0.42,,,
Super Mario Bros. 3,NES,1988.0,Platform,9.54,3.44,3.84,0.46,,,
Grand Theft Auto V,X360,2013.0,Action,9.66,5.14,0.06,1.41,97.0,8.1,M
Grand Theft Auto: Vice City,PS2,2002.0,Action,8.41,5.49,0.47,1.78,95.0,8.7,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,6.06,3.9,5.38,0.5,,,
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,3.43,5.35,5.32,1.18,77.0,7.1,E
Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,5.51,3.17,5.65,0.8,,,
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,6.85,5.09,1.87,1.16,95.0,8.4,E
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,9.04,4.24,0.13,1.32,88.0,3.4,M
Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,5.89,5.04,3.12,0.59,,,
Call of Duty: Black Ops 3,PS4,2015.0,Shooter,6.03,5.86,0.36,2.38,,,
Call of Duty: Black Ops,X360,2010.0,Shooter,9.7,3.68,0.11,1.13,87.0,6.3,M
Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,5.28,4.19,4.35,0.78,,,
Call of Duty: Black Ops II,PS3,2012.0,Shooter,4.99,5.73,0.65,2.42,83.0,5.3,M
Call of Duty: Black Ops II,X360,2012.0,Shooter,8.25,4.24,0.07,1.12,83.0,4.8,M
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,8.52,3.59,0.08,1.28,94.0,6.3,M
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,5.54,5.73,0.49,1.57,88.0,3.2,M
Grand Theft Auto III,PS2,2001.0,Action,6.99,4.51,0.3,1.3,97.0,8.5,M
Super Smash Bros. Brawl,Wii,2008.0,Fighting,6.62,2.55,2.66,1.01,93.0,8.9,T
Mario Kart 7,3DS,2011.0,Racing,5.03,4.02,2.69,0.91,85.0,8.2,E
Call of Duty: Black Ops,PS3,2010.0,Shooter,5.99,4.37,0.48,1.79,88.0,6.4,M
Grand Theft Auto V,PS4,2014.0,Action,3.96,6.31,0.38,1.97,97.0,8.3,M
Animal Crossing: Wild World,DS,2005.0,Simulation,2.5,3.45,5.33,0.86,86.0,8.7,E
Halo 3,X360,2007.0,Shooter,7.97,2.81,0.13,1.21,94.0,7.8,M
Super Mario 64,N64,1996.0,Platform,6.91,2.85,1.91,0.23,,,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,4.34,2.71,3.96,0.76,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,4.35,3.49,3.1,0.74,,,
Gran Turismo 4,PS2,2004.0,Racing,3.01,0.01,1.1,7.53,89.0,8.5,E
Super Mario Galaxy,Wii,2007.0,Platform,6.06,3.35,1.2,0.74,97.0,8.9,E
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,6.16,2.04,2.69,0.29,,,
Grand Theft Auto IV,X360,2008.0,Action,6.76,3.07,0.14,1.03,98.0,7.9,M
Gran Turismo,PS,1997.0,Racing,4.02,3.87,2.54,0.52,96.0,8.7,E
Super Mario 3D Land,3DS,2011.0,Platform,4.89,3.0,2.14,0.78,90.0,8.4,E
Gran Turismo 5,PS3,2010.0,Racing,2.96,4.82,0.81,2.11,84.0,7.5,E
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,4.99,3.64,0.38,1.6,94.0,6.3,M
Super Mario All-Stars,SNES,1993.0,Platform,5.99,2.15,2.12,0.29,,,
Grand Theft Auto IV,PS3,2008.0,Action,4.76,3.69,0.44,1.61,98.0,7.5,M
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,4.34,2.65,3.15,0.35,,,
Super Mario 64,DS,2004.0,Platform,5.01,3.07,1.25,0.97,,,
Call of Duty: Ghosts,X360,2013.0,Shooter,6.73,2.56,0.04,0.91,73.0,2.6,M
Just Dance 3,Wii,2011.0,Misc,5.95,3.11,0.0,1.06,74.0,7.8,E10+
New Super Mario Bros. 2,3DS,2012.0,Platform,3.66,3.14,2.47,0.63,78.0,7.2,E
Mario Kart 64,N64,1996.0,Racing,5.55,1.94,2.23,0.15,,,
Halo: Reach,X360,2010.0,Shooter,7.04,1.95,0.08,0.79,91.0,7.9,M
Final Fantasy VII,PS,1997.0,Role-Playing,3.01,2.47,3.28,0.96,92.0,9.2,T
Halo 4,X360,2012.0,Shooter,6.65,2.28,0.04,0.74,87.0,7,M
Gran Turismo 2,PS,1999.0,Racing,3.88,3.42,1.69,0.5,93.0,9,T
Just Dance 2,Wii,2010.0,Misc,5.8,2.85,0.01,0.78,74.0,7.3,E10+
Call of Duty: Ghosts,PS3,2013.0,Shooter,4.1,3.63,0.38,1.25,71.0,2.6,M
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,5.93,2.36,0.13,0.9,94.0,8.4,M
Donkey Kong Country,SNES,1994.0,Platform,4.36,1.71,3.0,0.23,,,
Minecraft,X360,2013.0,Misc,5.7,2.65,0.02,0.81,,,
Animal Crossing: New Leaf,3DS,2012.0,Simulation,2.03,2.36,4.39,0.39,88.0,8.7,E
Mario Party DS,DS,2007.0,Misc,4.4,1.85,1.98,0.68,72.0,7.8,E
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,5.05,2.79,0.1,0.85,96.0,8.4,M
Super Mario Kart,SNES,1992.0,Racing,3.54,1.24,3.81,0.18,,,
FIFA 16,PS4,2015.0,Sports,1.12,6.12,0.06,1.28,82.0,4.3,E
Halo 2,XB,2004.0,Shooter,6.82,1.53,0.05,0.08,95.0,8.2,M
Wii Party,Wii,2010.0,Misc,1.75,3.47,2.49,0.67,68.0,7.4,E
Mario Party 8,Wii,2007.0,Misc,3.74,2.24,1.58,0.7,62.0,6.3,E
FIFA Soccer 13,PS3,2012.0,Action,1.06,5.01,0.13,1.97,88.0,6.6,E
GoldenEye 007,N64,1997.0,Shooter,5.8,2.01,0.13,0.15,,,
Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,2.79,1.72,3.14,0.41,,,
Final Fantasy X,PS2,2001.0,Role-Playing,2.91,2.07,2.73,0.33,92.0,8.7,T
The Sims 3,PC,2009.0,Simulation,0.99,6.42,0.0,0.6,86.0,7.6,T
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,2.57,3.86,0.66,0.91,,,
Star Wars Battlefront (2015),PS4,2015.0,Shooter,2.99,3.49,0.22,1.28,,,
Final Fantasy VIII,PS,1999.0,Role-Playing,2.28,1.72,3.63,0.23,90.0,8.6,T
Pac-Man,2600,1982.0,Puzzle,7.28,0.45,0.0,0.08,,,
Pokémon Platinum Version,DS,2008.0,Role-Playing,2.76,1.72,2.69,0.54,83.0,8.5,E
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,2.9,2.81,0.24,1.73,88.0,7.6,M
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,2.81,3.48,0.14,1.23,83.0,5.7,M
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,4.1,1.89,1.45,0.16,,,
FIFA 17,PS4,2016.0,Sports,0.66,5.75,0.08,1.11,85.0,5,E
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,3.78,2.17,1.31,0.31,,,
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,3.27,1.37,2.43,0.48,,,
Super Mario Galaxy 2,Wii,2010.0,Platform,3.56,2.35,0.98,0.62,97.0,9.1,E
Super Mario Bros. 2,NES,1988.0,Platform,5.39,1.18,0.7,0.19,,,
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,4.59,2.11,0.01,0.68,,,
Call of Duty: World at War,X360,2008.0,Shooter,4.81,1.88,0.0,0.69,84.0,7.6,M
Battlefield 3,X360,2011.0,Shooter,4.46,2.11,0.06,0.69,84.0,7.4,M
Need for Speed Underground,PS2,2003.0,Racing,3.27,2.83,0.08,1.02,85.0,8.6,E
Just Dance,Wii,2009.0,Misc,3.48,2.99,0.0,0.73,49.0,8,E10+
Battlefield 3,PS3,2011.0,Shooter,2.85,2.89,0.35,1.08,85.0,7.5,M
Fallout 4,PS4,2015.0,Role-Playing,2.53,3.27,0.24,1.13,87.0,6.5,M
Tekken 3,PS,1998.0,Fighting,3.27,2.22,1.4,0.29,96.0,9.1,T
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,3.74,2.14,0.6,0.68,95.0,9,T
Pokemon Sun/Moon,3DS,2016.0,Role-Playing,2.98,1.45,2.26,0.45,,,
Crash Bandicoot 3: Warped,PS,1998.0,Platform,3.68,1.75,1.42,0.28,91.0,8.9,E
Mario Kart 8,WiiU,2014.0,Racing,3.15,2.15,1.28,0.51,88.0,9.1,E
Super Smash Bros. Melee,GC,2001.0,Fighting,4.41,1.04,1.39,0.22,92.0,9.1,T
Mario Kart: Double Dash!!,GC,2003.0,Racing,4.12,1.77,0.87,0.19,,,
Need for Speed Underground 2,PS2,2004.0,Racing,2.71,3.02,0.08,1.09,82.0,8.6,E
Medal of Honor: Frontline,PS2,2002.0,Shooter,2.93,2.75,0.17,0.99,88.0,8.5,T
Crash Bandicoot,PS,1996.0,Platform,3.23,2.35,0.94,0.3,,,
Just Dance 4,Wii,2012.0,Misc,4.05,2.16,0.0,0.55,74.0,7.3,E10+
Gears of War 2,X360,2008.0,Shooter,4.15,1.9,0.06,0.64,93.0,7.7,M
Uncharted 3: Drake's Deception,PS3,2011.0,Action,2.77,2.75,0.19,1.03,92.0,8.3,T
Zumba Fitness,Wii,2010.0,Sports,3.45,2.59,0.0,0.66,,tbd,E
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,3.11,2.26,0.28,1.03,94.0,8.4,M
Uncharted 2: Among Thieves,PS3,2009.0,Action,3.27,2.2,0.21,0.98,96.0,8.8,T
FIFA 12,PS3,2011.0,Sports,0.84,4.3,0.11,1.39,,,
Big Brain Academy,DS,2005.0,Misc,1.66,2.75,1.6,0.62,74.0,7.4,E
The Legend of Zelda,NES,1986.0,Action,3.74,0.93,1.69,0.14,,,
Red Dead Redemption,PS3,2010.0,Action,2.79,2.53,0.17,0.99,95.0,8.8,M
FIFA 14,PS3,2013.0,Sports,0.78,4.24,0.07,1.37,86.0,4.3,E
Assassin's Creed III,PS3,2012.0,Action,2.64,2.52,0.16,1.12,85.0,6.9,M
Donkey Kong Country Returns,Wii,2010.0,Platform,3.17,1.79,1.03,0.46,87.0,8.6,E
Halo: Combat Evolved,XB,2001.0,Shooter,4.98,1.3,0.08,0.07,97.0,8.6,M
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,2.55,2.6,0.25,1.0,92.0,6.4,M
Pokémon Emerald Version,GBA,2004.0,Role-Playing,2.57,1.58,2.06,0.21,76.0,9,E
Kingdom Hearts,PS2,2002.0,Role-Playing,3.64,1.2,1.49,0.07,85.0,8.8,E
Pokémon Crystal Version,GB,2000.0,Role-Playing,2.55,1.56,1.29,0.99,,,
Halo 3: ODST,X360,2009.0,Shooter,4.34,1.34,0.06,0.61,83.0,7.1,M
Red Dead Redemption,X360,2010.0,Action,3.7,1.95,0.09,0.58,95.0,9,M
Super Mario Sunshine,GC,2002.0,Platform,4.01,1.26,0.87,0.17,92.0,8.6,E
Street Fighter II: The World Warrior,SNES,1992.0,Fighting,2.47,0.83,2.87,0.12,,,
World of Warcraft,PC,2004.0,Role-Playing,0.08,6.21,0.0,0.0,93.0,7.3,T
Driver,PS,1999.0,Action,3.11,2.8,0.02,0.33,87.0,8.1,T
Gears of War 3,X360,2011.0,Shooter,4.05,1.59,0.07,0.5,91.0,7.8,M
Kinect Sports,X360,2010.0,Sports,3.92,1.73,0.03,0.51,73.0,7.4,E10+
Gears of War,X360,2006.0,Shooter,3.54,1.88,0.07,0.6,94.0,8.3,M
FIFA 15,PS4,2014.0,Sports,0.8,4.33,0.05,0.9,82.0,5.7,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,2.45,2.01,0.87,0.72,96.0,8.7,M
Sonic the Hedgehog 2,GEN,1992.0,Platform,4.47,1.2,0.16,0.19,,,
Metal Gear Solid,PS,1998.0,Action,3.18,1.83,0.78,0.24,94.0,9.4,M
