calls,minutes,messages,mb_used,is_ultra
40.0,311.8999999999999,83.0,19915.42,0
85.0,516.75,56.0,22696.96,0
77.0,467.6600000000001,86.0,21060.449999999997,0
106.0,745.53,81.0,8437.39,1
66.0,418.74,1.0,14502.750000000002,0
58.0,344.56,21.0,15823.370000000004,0
57.0,431.6400000000001,20.0,3738.9000000000005,1
15.0,132.4,6.0,21911.6,0
7.0,43.39,3.0,2538.67,1
90.0,665.4100000000001,38.0,17358.61,0
82.0,560.5099999999998,20.0,9619.530000000002,1
45.0,344.32,13.0,19898.809999999998,0
51.0,437.1299999999999,61.0,21523.580000000005,0
56.0,433.0699999999999,16.0,16702.360000000004,0
108.0,587.9000000000001,0.0,14406.500000000002,1
6.0,22.13,0.0,2710.0899999999997,0
2.0,18.729999999999997,0.0,588.89,0
26.0,163.62000000000003,4.0,16870.340000000004,0
79.0,532.62,90.0,19908.309999999998,0
49.0,341.6699999999999,81.0,11770.28,1
93.0,691.37,31.0,25950.28,1
56.0,411.46000000000004,97.0,15393.909999999998,0
48.0,351.59999999999997,66.0,16469.9,1
11.0,96.04999999999998,19.0,2305.74,0
56.0,360.3,30.0,13560.15,0
53.0,356.22,52.0,22471.769999999986,0
81.0,624.71,38.0,8644.660000000002,1
154.0,1078.6399999999999,48.0,29335.15,1
37.0,286.67999999999995,44.0,19542.45,0
50.0,358.01000000000005,44.0,9998.83,1
41.0,276.80999999999995,0.0,19815.62,0
10.0,77.09,31.0,643.15,0
71.0,530.13,27.0,20698.51,0
65.0,482.35,7.0,23064.58,1
110.0,776.8499999999999,9.0,20790.93,1
120.0,814.8500000000004,0.0,20427.000000000004,1
76.0,543.1799999999998,43.0,31845.109999999993,1
64.0,422.6899999999999,0.0,11460.289999999999,0
23.0,146.18,33.0,9711.449999999999,0
81.0,519.48,34.0,12750.820000000003,0
34.0,183.27999999999997,0.0,18631.660000000003,0
11.0,85.31,7.0,10764.82,1
48.0,392.04,0.0,19122.13,0
50.0,323.98999999999995,10.0,20922.050000000003,1
98.0,665.5599999999998,106.0,19538.829999999998,0
35.0,235.57999999999996,97.0,20710.709999999995,0
76.0,535.9099999999999,65.0,11968.22,0
49.0,327.45000000000005,0.0,12049.91,1
5.0,49.949999999999996,17.0,3370.6899999999996,1
58.0,474.9200000000001,11.0,17858.589999999993,0
70.0,532.1000000000001,29.0,12403.260000000002,0
124.0,842.3999999999999,75.0,21544.339999999993,1
129.0,929.2300000000002,0.0,22508.960000000003,1
67.0,421.27000000000015,33.0,14865.739999999998,1
0.0,0.0,33.0,14010.329999999998,1
13.0,106.03,16.0,37328.45,1
68.0,449.2900000000001,47.0,18171.2,0
91.0,585.09,49.0,27339.850000000006,1
77.0,477.53999999999974,0.0,19090.740000000005,1
51.0,356.3900000000001,33.0,20456.97,0
121.0,853.01,64.0,26605.939999999988,1
114.0,823.5799999999999,144.0,30323.430000000004,1
