Пол,Возраст,Зарплата,Члены семьи,Страховые выплаты
1,41.0,49600.0,1,0
0,46.0,38000.0,1,1
0,29.0,21000.0,0,0
0,21.0,41700.0,2,0
1,28.0,26100.0,0,0
1,43.0,41000.0,2,1
1,39.0,39700.0,2,0
1,25.0,38600.0,4,0
1,36.0,49700.0,1,0
1,32.0,51700.0,1,0
1,25.0,36600.0,1,0
1,38.0,29300.0,0,0
0,23.0,39500.0,3,0
0,21.0,55000.0,0,0
0,40.0,43700.0,1,0
1,34.0,23300.0,0,0
1,26.0,48900.0,2,0
1,41.0,33200.0,2,0
1,42.0,49700.0,0,1
1,27.0,36900.0,0,0
1,38.0,43500.0,1,0
1,36.0,36100.0,1,0
0,41.0,26600.0,0,0
0,33.0,48700.0,2,0
0,21.0,40400.0,3,0
1,47.0,38400.0,3,1
1,25.0,34600.0,1,0
1,30.0,34800.0,1,0
1,19.0,36800.0,0,0
0,21.0,42200.0,2,0
0,25.0,46300.0,0,0
1,40.0,30300.0,0,0
1,30.0,51000.0,2,0
0,31.0,28100.0,0,0
0,19.0,64800.0,2,0
1,27.0,30400.0,0,0
1,22.0,45300.0,2,0
0,27.0,38300.0,0,0
1,31.0,49500.0,1,0
1,33.0,19400.0,1,0
1,42.0,40200.0,0,1
1,39.0,31700.0,1,0
1,42.0,69200.0,0,1
0,20.0,33100.0,1,0
0,30.0,31600.0,2,0
0,24.0,30400.0,1,0
0,26.0,34500.0,1,0
0,42.0,38700.0,1,1
1,25.0,33100.0,1,0
0,28.0,36600.0,1,0
1,28.0,39600.0,0,0
0,30.0,38600.0,2,0
1,29.0,42400.0,0,0
1,34.0,34600.0,0,0
1,42.0,28100.0,2,0
0,46.0,34900.0,1,1
0,19.0,30500.0,0,0
0,31.0,48900.0,0,0
1,20.0,24200.0,3,0
1,30.0,49900.0,1,0
0,28.0,14300.0,1,0
0,38.0,47000.0,1,0
1,23.0,44800.0,1,0
0,32.0,43800.0,1,0
0,27.0,42700.0,3,0
1,18.0,35400.0,2,0
1,43.0,57200.0,4,1
1,37.0,29600.0,2,0
1,20.0,37400.0,2,0
1,39.0,48100.0,1,0
1,42.0,33700.0,1,1
0,40.0,61800.0,1,0
0,40.0,39400.0,1,0
1,32.0,15600.0,2,0
1,24.0,47000.0,3,0
0,48.0,49500.0,0,1
0,37.0,52600.0,0,0
1,40.0,37600.0,2,0
0,43.0,34900.0,0,1
1,29.0,52500.0,3,0
1,41.0,32700.000000000004,0,0
1,29.0,51600.0,1,0
0,31.0,37400.0,2,0
1,37.0,60900.0,2,0
0,26.0,41800.0,1,0
0,25.0,47400.0,2,0
0,45.0,26500.0,2,1
0,28.0,45900.0,0,0
1,24.0,33100.0,1,0
0,44.0,45300.0,0,1
1,23.0,35700.0,2,0
1,36.0,34300.0,2,0
1,25.0,26700.0,1,0
1,20.0,25700.0,4,0
0,32.0,33300.0,0,0
1,52.0,31100.0,0,2
0,23.0,43700.0,0,0
1,23.0,31500.0,1,0
1,38.0,33100.0,1,0
0,37.0,42100.0,2,0
0,19.0,37300.0,1,0
0,49.0,42500.0,1,2
1,43.0,27300.0,0,1
0,27.0,46800.0,2,0
0,24.0,33500.0,1,0
1,35.0,44300.0,0,0
1,45.0,41600.0,2,1
1,24.0,53900.0,2,0
1,39.0,40100.0,2,0
1,20.0,44600.0,1,0
1,39.0,36600.0,1,0
0,30.0,45900.0,2,0
1,25.0,45000.0,1,0
0,25.0,32000.0,0,0
0,40.0,38200.0,3,0
1,23.0,33000.0,1,0
1,28.0,38500.0,0,0
1,52.0,32000.0,0,2
1,27.0,51800.0,0,0
0,22.0,33800.0,1,0
1,24.0,46400.0,2,0
1,19.0,43200.0,1,0
0,40.0,31800.0,3,0
1,27.0,38000.0,5,0
1,43.0,50200.0,1,1
1,40.0,35100.0,1,0
0,35.0,30700.0,1,0
0,28.0,30300.0,0,0
0,20.0,39400.0,1,0
0,33.0,45800.0,1,0
0,21.0,49300.0,0,0
0,23.0,42800.0,2,0
1,33.0,33600.0,3,0
1,40.0,50300.0,1,0
1,41.0,34000.0,1,0
0,19.0,40200.0,0,0
0,36.0,41700.0,1,0
1,38.0,36400.0,0,0
1,25.0,44900.0,0,0
0,18.0,39500.0,0,0
0,30.0,43600.0,1,0
1,21.0,34900.0,2,0
0,22.0,38000.0,2,0
0,40.0,54600.0,1,0
0,25.0,52800.0,2,0
1,41.0,33200.0,3,0
0,24.0,25700.0,1,0
1,27.0,29700.0,3,0
0,28.0,39000.0,1,0
0,20.0,44100.0,1,0
1,21.0,31900.0,1,0
1,19.0,29300.0,0,0
0,26.0,37700.0,3,0
0,20.0,35200.0,1,0
0,36.0,43100.0,0,0
1,28.0,51300.0,0,0
1,21.0,47500.0,2,0
1,22.0,40800.0,0,0
0,26.0,26800.0,2,0
1,19.0,64900.00000000001,2,0
0,32.0,35900.0,3,0
0,41.0,31200.0,2,0
0,32.0,39900.0,2,0
0,31.0,43200.0,3,0
1,22.0,43300.0,1,0
1,33.0,35400.0,2,0
1,33.0,33900.0,2,0
1,35.0,44900.0,2,0
0,30.0,37300.0,0,0
1,38.0,40700.0,1,0
1,37.0,54600.0,1,0
0,32.0,33600.0,0,0
1,22.0,44700.0,2,0
1,31.0,53400.0,0,0
1,33.0,52500.0,0,0
0,33.0,30600.0,2,0
1,41.0,48900.0,0,0
1,56.0,56000.0,0,3
1,35.0,37300.0,1,0
0,27.0,35600.0,1,0
0,19.0,55200.0,1,0
0,45.0,40600.0,0,1
1,25.0,46400.0,1,0
0,18.0,48300.0,2,0
0,23.0,39900.0,2,0
1,37.0,26700.0,1,0
0,22.0,50800.0,0,0
1,31.0,43600.0,0,0
0,29.0,37400.0,3,0
0,39.0,41200.0,0,0
1,18.0,44200.0,1,0
1,38.0,44400.0,0,0
0,21.0,37600.0,1,0
0,23.0,43600.0,0,0
1,34.0,36600.0,1,0
0,31.0,40500.0,2,0
0,18.0,39800.0,4,0
0,45.0,16600.0,2,1
0,27.0,48400.0,2,0
1,21.0,25100.0,0,0
1,36.0,23100.0,1,0
0,22.0,32100.0,0,0
0,24.0,31000.0,2,0
1,31.0,42900.0,1,0
0,26.0,46700.0,0,0
0,25.0,45000.0,0,0
1,36.0,26000.0,1,0
0,34.0,55900.0,2,0
1,40.0,52000.0,3,0
0,22.0,40100.0,1,0
1,25.0,41500.0,1,0
0,33.0,39900.0,1,0
1,29.0,49400.0,0,0
1,43.0,60300.0,0,1
0,32.0,55000.0,2,0
1,25.0,48700.0,3,0
0,32.0,42200.0,1,0
1,29.0,45600.0,1,0
0,29.0,38500.0,0,0
0,29.0,49900.0,2,0
0,29.0,33700.0,2,0
0,44.0,35100.0,2,1
0,45.0,49000.0,0,1
1,34.0,37500.0,1,0
0,29.0,21900.0,0,0
0,36.0,45100.0,1,0
1,23.0,47900.0,0,0
0,28.0,54300.0,1,0
1,65.0,39700.0,1,5
1,33.0,32400.0,2,0
0,35.0,30700.0,0,0
0,35.0,41300.0,2,0
0,24.0,44500.0,1,0
0,20.0,23200.0,1,0
0,49.0,27300.0,0,2
0,55.0,35900.0,1,3
0,36.0,37900.0,0,0
0,28.0,48000.0,2,0
1,32.0,52800.0,1,0
1,26.0,44200.0,0,0
1,31.0,41500.0,0,0
1,27.0,32400.0,1,0
0,27.0,36800.0,2,0
0,19.0,36900.0,1,0
0,29.0,47000.0,5,0
1,25.0,52100.0,2,0
1,27.0,39500.0,1,0
1,41.0,33800.0,1,0
0,31.0,49400.0,1,0
1,40.0,45300.0,5,0
0,26.0,44700.0,2,0
1,23.0,45700.0,1,0
1,33.0,26500.0,1,0
1,19.0,47000.0,1,0
0,32.0,29900.0,1,0
0,23.0,42800.0,0,0
0,57.0,28100.0,2,3
0,37.0,52500.0,3,0
0,33.0,42600.0,0,0
0,29.0,38400.0,2,0
1,42.0,46700.0,0,1
1,29.0,45200.0,1,0
1,34.0,46800.0,2,0
0,43.0,36000.0,1,1
1,46.0,46500.0,1,1
0,39.0,23800.0,1,0
1,38.0,30200.0,0,0
0,36.0,40200.0,0,0
0,20.0,50200.0,3,0
1,34.0,24400.0,1,0
1,36.0,39600.0,0,0
0,25.0,44500.0,1,0
0,38.0,32800.0,1,0
1,39.0,29000.0,3,0
0,25.0,43400.0,0,0
0,35.0,48700.0,1,0
1,35.0,51500.0,1,0
1,32.0,43200.0,0,0
1,34.0,39900.0,1,0
0,23.0,34600.0,3,0
1,32.0,36000.0,0,0
1,39.0,48100.0,1,0
1,21.0,61700.0,0,0
1,37.0,45400.0,0,0
1,23.0,50700.0,0,0
0,43.0,36200.0,2,1
0,39.0,36000.0,0,0
0,27.0,41900.0,1,0
0,34.0,49400.0,1,0
1,26.0,52500.0,0,0
1,22.0,27900.0,0,0
0,27.0,31200.0,0,0
0,32.0,47200.0,1,0
0,23.0,48800.0,2,0
1,26.0,40100.0,2,0
0,23.0,33300.0,2,0
1,26.0,40600.0,4,0
1,19.0,55100.0,0,0
0,20.0,48200.0,1,0
0,39.0,43500.0,3,0
